site,origin_lat,origin_lng,dest_lat,dest_lng,origin_nearest_road,origin_impression,destination_nearest_road,destination_impression
GUADALED-STRETCH,14.570876762441005,121.04653148979502,14.569838383380963,121.04623644681,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED-STRETCH,14.567952,121.045918,14.572365,121.047377,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED-STRETCH,14.5725,121.047152,14.568087,121.045693,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED-STRETCH,14.56960036531704,121.0464297614439,14.570820461527092,121.04674089768264,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED-STRETCH,14.569075981458877,121.04628492215387,14.571355224993365,121.04694474556538,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
GUADALED-STRETCH,14.571369990784136,121.046697786756,14.569272464713626,121.0461184296136,R-4 (Shaw Boulevard),144836,R-4 (Shaw Boulevard),144836
MA01_MA02,14.62613493,121.0826794,14.62242742,121.086409,R-7 (Quezon Avenue),356012,R-5 (Ortigas Avenue),188765
MA02_MA01,14.62218518,121.0861965,14.62606395,121.0825678,R-5 (Ortigas Avenue),188765,R-7 (Quezon Avenue),356012
MA02_MA03,14.62242742,121.086409,14.61952617,121.0892357,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA03_MA02,14.61929483,121.0890688,14.62218518,121.0861965,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA03_MA04,14.61952617,121.0892357,14.6188399,121.0922642,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA04_MA03,14.61856998,121.0922481,14.61929483,121.0890688,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA04_MA05,14.6188399,121.0922642,14.61993766,121.0974366,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA05_MA04,14.61967223,121.09736,14.61856998,121.0922481,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA05_MA06,14.61993766,121.0974366,14.62036953,121.0994457,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA06_MA05,14.6201126,121.0996429,14.61967223,121.09736,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA06_MA07,14.62036953,121.0994457,14.62392213,121.1505075,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
MA07_MA06,14.62384497,121.1504756,14.6201126,121.0996429,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR01_OR02,14.60763678,121.0390516,14.6048306,121.0427231,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR02_OR01,14.60494091,121.042815,14.60769319,121.0390939,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR02_OR03,14.6048306,121.0427231,14.60334055,121.0445554,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR03_OR02,14.60347422,121.0446788,14.60494091,121.042815,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR03_OR04,14.60334055,121.0445554,14.60162907,121.0468707,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR04_OR03,14.60177507,121.0469874,14.60347422,121.0446788,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR04_OR05,14.60162907,121.0468707,14.60094698,121.0478354,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR05_OR04,14.60105794,121.04794,14.60177507,121.0469874,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR05_OR06,14.60094698,121.0478354,14.5995401,121.049722,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR06_OR05,14.59964747,121.0498329,14.60105794,121.04794,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR06_OR07,14.5995401,121.049722,14.59511187,121.0558422,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR07_OR06,14.59522312,121.0558848,14.59964747,121.0498329,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR07_OR08,14.59511187,121.0558422,14.59316305,121.058423,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR08_OR07,14.59329431,121.0585024,14.59522312,121.0558848,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR08_OR09,14.59316305,121.058423,14.59219614,121.0595573,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR09_OR08,14.59232852,121.0596076,14.59329431,121.0585024,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR09_OR10,14.59219614,121.0595573,14.59058227,121.0614135,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR10_OR09,14.59073055,121.0615516,14.59232852,121.0596076,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR10_OR11,14.59058227,121.0614135,14.58866388,121.064479,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR11_OR10,14.58878745,121.0644407,14.59073055,121.0615516,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR11_OR12,14.58866388,121.064479,14.58895503,121.0687678,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR12_OR11,14.58905951,121.0687463,14.58878745,121.0644407,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR12_OR13,14.58895503,121.0687678,14.58913439,121.0713331,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR13_OR12,14.58923757,121.0713324,14.58905951,121.0687463,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR13_OR14,14.58913439,121.0713331,14.58922553,121.0726511,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR14_OR13,14.5893365,121.0726806,14.58923757,121.0713324,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR14_OR15,14.58922553,121.0726511,14.58980324,121.0809037,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
OR15_OR14,14.58991444,121.0809119,14.5893365,121.0726806,R-5 (Ortigas Avenue),188765,R-5 (Ortigas Avenue),188765
QA01_QA02,14.65042103,121.0468294,14.64606111,121.0404406,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA02_QA01,14.64599448,121.0405574,14.64975157,121.0473012,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA02_QA03,14.64606111,121.0404406,14.64470924,121.0382742,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA03_QA02,14.64464412,121.0383333,14.64599448,121.0405574,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA03_QA04,14.64470924,121.0382742,14.64375045,121.0367114,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA04_QA03,14.6436862,121.0367606,14.64464412,121.0383333,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA04_QA05,14.64375045,121.0367114,14.64289434,121.0354606,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA05_QA04,14.6428801,121.0354373,14.6436862,121.0367606,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
QA05_QA06,14.64289434,121.0354606,14.64138262,121.032728,R-7 (Quezon Avenue),356012,R-7 (Quezon Avenue),356012
